v_63,v_64,v_65,v_66,v_67,v_68,v_69,v_70,v_178,v_179,v_92,v_93,v_94,v_95,v_96,v_97,v_98,v_99,v_180,v_181,v_100,v_101,v_102,v_103,v_104,v_105,v_106,v_107,v_182,v_183,v_116,v_117,v_118,v_119,v_120,v_121,v_122,v_123,v_184,v_185,v_124,v_125,v_126,v_127,v_128,v_129,v_130,v_131,v_186,v_187,plz1,succ,labour,sh_famlab,fulltime,age,master,uaa,sh_grassland,organic,cows,milkyield,sh_rent
0,1,1,0,0,0,0,0,1,0,0,-77,-77,0,1,0,0,0,-77,0,0,-77,-77,0,-77,0,0,0,-77,1,0,-77,-77,0,-77,1,0,0,-77,-77,0,-77,-77,0,-77,-77,1,0,-77,-77,2,1,6,.5,1,55,1,250,40,0,320,12000,75
0,0,1,1,0,0,0,0,1,1,0,1,-77,-77,1,0,0,0,-77,-77,0,-77,-77,-77,-77,0,0,0,-77,-77,1,-77,-77,-77,-77,0,0,0,-77,-77,-77,-77,-77,-77,-77,0,0,0,-77,-77,8,1,4.5,.94444442,1,59,1,120,100,0,155,8950,86
0,0,1,1,0,0,0,0,0,0,0,1,-77,-77,1,0,0,0,1,0,0,-77,-77,-77,-77,0,0,0,-77,0,0,-77,-77,-77,-77,0,1,0,-77,0,0,-77,-77,-77,-77,0,-77,0,-77,1,6,1,8,.3125,1,58,1,300,20,0,300,11000,60
1,0,0,1,0,0,0,0,0,1,-77,0,0,-77,0,0,0,0,0,-77,-77,0,0,-77,0,0,0,0,1,-77,-77,0,0,-77,0,0,0,0,-77,-77,-77,0,0,-77,0,0,0,0,-77,-77,2,1,3.5,.5714286,1,43,1,150,85,0,190,10000,40
0,0,0,1,0,0,0,0,1,0,0,0,0,-77,1,0,0,0,-77,0,0,0,0,-77,-77,0,0,0,-77,0,1,0,0,-77,-77,0,0,0,-77,0,-77,0,0,-77,-77,0,1,0,-77,1,2,1,2.6,.61538464,1,53,1,165,60,0,185,9100,75
0,0,1,1,0,0,0,0,1,1,0,0,-77,-77,1,0,0,0,-77,-77,0,0,-77,-77,-77,0,0,0,-77,-77,0,0,-77,-77,-77,0,0,0,-77,-77,1,0,-77,-77,-77,0,0,0,-77,-77,4,1,3,.86666667,1,41,1,140,38,0,140,10500,10
0,0,0,1,0,0,0,0,0,0,1,0,0,-77,0,0,0,0,1,0,-77,0,0,-77,1,0,0,0,-77,0,-77,0,0,-77,-77,0,0,0,-77,0,-77,0,0,-77,-77,0,0,0,-77,1,5,1,3,.66666669,1,51,1,300,30,0,150,10000,60
0,1,1,1,0,0,0,0,1,1,0,-77,-77,-77,1,0,0,0,-77,-77,0,-77,-77,-77,-77,0,0,0,-77,-77,0,-77,-77,-77,-77,0,1,0,-77,-77,0,-77,-77,-77,-77,1,-77,1,-77,-77,4,1,4,.5,1,42,1,92,12,0,173,11000,33
0,0,1,0,0,0,0,0,0,0,0,1,-77,0,1,0,0,0,0,0,0,-77,-77,0,-77,0,0,0,0,0,0,-77,-77,0,-77,0,1,0,1,1,1,-77,-77,1,-77,0,-77,1,-77,-77,4,0,1.2,.83333331,1,60,1,50,5,0,90,10000,20
1,0,1,1,0,0,0,1,1,1,-77,1,-77,-77,0,0,0,-77,-77,-77,-77,-77,-77,-77,1,0,0,-77,-77,-77,-77,-77,-77,-77,-77,1,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,1,-77,-77,-77,8,1,1.5,1,1,30,1,55,100,0,30,,20
0,0,1,1,0,0,1,0,1,0,0,0,-77,-77,1,0,-77,0,-77,1,0,0,-77,-77,-77,0,-77,0,-77,-77,0,1,-77,-77,-77,0,-77,0,-77,-77,1,-77,-77,-77,-77,0,-77,1,-77,-77,1,1,9,.22222222,1,49,1,330,40,0,650,10000,50
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,-77,1,0,-77,0,0,0,-77,-77,-77,-77,-77,1,-77,1,1,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,1,-77,-77,8,1,3,1,1,38,1,55,100,0,63,7500,50
0,0,0,1,0,0,0,1,1,0,0,0,0,-77,1,0,0,-77,-77,0,0,1,0,-77,-77,0,0,-77,-77,0,1,-77,0,-77,-77,0,0,-77,-77,1,-77,-77,1,-77,-77,0,0,-77,-77,-77,4,1,2,.75,1,52,1,70,10,0,46,9000,15
0,1,1,1,1,0,0,0,1,1,0,-77,-77,-77,-77,0,0,0,-77,-77,0,-77,-77,-77,-77,0,0,0,-77,-77,0,-77,-77,-77,-77,0,1,0,-77,-77,1,-77,-77,-77,-77,0,-77,0,-77,-77,4,1,5.5,.18181819,1,42,1,180,50,0,430,11500,70
1,1,1,1,0,0,0,0,1,1,-77,-77,-77,-77,1,0,1,0,-77,-77,-77,-77,-77,-77,-77,0,-77,0,-77,-77,-77,-77,-77,-77,-77,0,-77,0,-77,-77,-77,-77,-77,-77,-77,0,-77,0,-77,-77,6,1,8,0,1,51,1,365,100,1,450,8888.888888888889,80
0,0,1,1,0,0,0,0,1,0,0,1,-77,-77,1,0,0,0,-77,0,0,-77,-77,-77,-77,0,0,0,-77,1,0,-77,-77,-77,-77,0,0,0,-77,-77,1,-77,-77,-77,-77,0,1,0,-77,-77,3,1,3.5,.71428573,1,32,1,130,50,0,220,9800,60
1,1,1,1,1,0,1,0,1,0,-77,-77,-77,-77,-77,0,-77,0,-77,1,-77,-77,-77,-77,-77,0,-77,0,-77,-77,-77,-77,-77,-77,-77,0,-77,1,-77,-77,-77,-77,-77,-77,-77,1,-77,-77,-77,-77,3,1,2.8,.8214286,1,52,1,144,52,1,89,7800,60
1,0,0,0,0,0,0,1,0,0,-77,1,0,1,0,0,0,-77,1,1,-77,-77,0,-77,0,0,0,-77,-77,-77,-77,-77,0,-77,1,0,0,-77,-77,-77,-77,-77,1,-77,-77,0,0,-77,-77,-77,5,1,1.3,.23076923,1,30,1,72,66,0,45,9000,55
0,0,1,0,0,0,0,0,0,0,0,1,-77,0,1,0,0,0,1,0,0,-77,-77,0,-77,0,0,0,-77,0,0,-77,-77,1,-77,0,0,0,-77,1,1,-77,-77,-77,-77,0,0,0,-77,-77,8,1,3.2,1,1,58,1,103,5,0,80,10300,60
0,0,1,1,0,0,0,0,0,0,0,0,-77,-77,0,0,0,0,0,0,0,0,-77,-77,0,0,0,0,0,1,0,0,-77,-77,0,0,0,0,0,-77,0,0,-77,-77,1,1,0,1,1,-77,8,0,2.5,1,1,55,1,54,26,0,60,9100,27
1,1,1,1,1,0,0,0,1,1,-77,-77,-77,-77,-77,0,0,0,-77,-77,-77,-77,-77,-77,-77,0,0,0,-77,-77,-77,-77,-77,-77,-77,0,0,0,-77,-77,-77,-77,-77,-77,-77,0,1,0,-77,-77,2,1,1.8,.55555558,1,48,1,105,80,0,120,9000,65
0,1,1,1,0,0,0,0,1,0,0,-77,-77,-77,1,0,0,0,-77,0,0,-77,-77,-77,-77,0,0,0,-77,1,1,-77,-77,-77,-77,0,0,0,-77,-77,-77,-77,-77,-77,-77,0,1,0,-77,-77,1,1,23,0,1,57,1,1260,21,0,506,10560,71
0,0,1,1,0,0,0,1,1,1,0,0,-77,-77,1,0,0,-77,-77,-77,0,1,-77,-77,-77,0,0,-77,-77,-77,0,-77,-77,-77,-77,1,0,-77,-77,-77,0,-77,-77,-77,-77,-77,1,-77,-77,-77,5,1,3.7,0,1,28,1,90,15,0,45,11800,100
0,0,1,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,3,1,2,1,1,62,1,65,85,0,100,10500,70
0,0,1,1,0,0,1,0,1,0,0,0,-77,-77,0,0,-77,0,-77,0,0,0,-77,-77,0,0,-77,0,-77,0,0,1,-77,-77,1,0,-77,0,-77,1,1,-77,-77,-77,-77,0,-77,0,-77,-77,0,1,5,.2,1,48,1,500,10,0,230,10000,60
0,0,1,1,0,0,0,0,1,1,0,0,-77,-77,1,0,0,0,-77,-77,0,0,-77,-77,-77,0,0,0,-77,-77,0,0,-77,-77,-77,0,0,0,-77,-77,0,0,-77,-77,-77,0,0,0,-77,-77,3,1,2.2,.68181819,1,36,1,140,75,0,145,8600,80
0,0,1,1,1,0,0,0,1,0,0,0,-77,-77,-77,1,1,0,-77,0,0,0,-77,-77,-77,-77,-77,0,-77,0,0,1,-77,-77,-77,-77,-77,0,-77,1,1,-77,-77,-77,-77,-77,-77,0,-77,-77,1,1,35,0,1,55,1,2140,33,0,810,8765.432098765432,55
0,1,1,0,1,0,0,0,1,0,0,-77,-77,0,-77,0,1,0,-77,1,0,-77,-77,1,-77,0,-77,0,-77,-77,0,-77,-77,-77,-77,0,-77,0,-77,-77,0,-77,-77,-77,-77,1,-77,0,-77,-77,4,1,5,.30000001,1,42,1,190,40,,450,12500,75
0,1,1,1,1,0,0,0,1,1,0,-77,-77,-77,-77,0,0,0,-77,-77,0,-77,-77,-77,-77,0,0,0,-77,-77,0,-77,-77,-77,-77,0,0,0,-77,-77,1,-77,-77,-77,-77,0,1,0,-77,-77,8,1,3.4,1,1,63,1,60,35,0,230,8695.652173913044,60
0,0,1,1,1,0,0,0,0,0,0,0,-77,-77,-77,0,1,0,0,0,1,1,-77,-77,-77,0,-77,0,1,0,-77,-77,-77,-77,-77,0,-77,0,-77,1,-77,-77,-77,-77,-77,1,-77,0,-77,-77,5,1,3.2,1,1,41,1,118,76,0,200,10500,80
0,1,1,0,1,0,0,0,1,1,0,-77,-77,1,-77,0,0,0,-77,-77,0,-77,-77,-77,-77,0,0,0,-77,-77,0,-77,-77,-77,-77,0,0,0,-77,-77,0,-77,-77,-77,-77,0,1,0,-77,-77,9,1,5.5,.4909091,1,47,1,180,30,0,160,9400,92
0,1,1,1,0,0,0,0,0,0,0,-77,-77,-77,1,0,0,0,1,0,1,-77,-77,-77,-77,0,0,0,-77,1,-77,-77,-77,-77,-77,0,0,0,-77,-77,-77,-77,-77,-77,-77,0,0,0,-77,-77,8,1,2,1,1,34,1,41,100,0,80,6800,5
0,0,1,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,-77,0,1,0,1,0,0,0,0,0,-77,0,-77,0,-77,0,0,0,0,1,-77,0,-77,0,-77,0,1,0,3,1,2,1,1,41,1,120,70,0,100,9000,80
0,0,0,0,1,0,0,0,1,0,0,0,0,0,-77,0,1,0,-77,1,0,1,0,0,-77,0,-77,0,-77,-77,0,-77,1,0,-77,0,-77,0,-77,-77,0,-77,-77,1,-77,0,-77,0,-77,-77,3,1,25,0,1,55,1,1740,30,0,639,9700,85
0,0,1,1,0,0,0,0,1,0,0,0,-77,-77,1,0,0,0,-77,0,0,0,-77,-77,-77,0,1,0,-77,0,0,0,-77,-77,-77,0,-77,0,-77,1,0,1,-77,-77,-77,0,-77,0,-77,-77,2,1,2.4,1,1,58,0,100,60,0,120,9500,70
1,0,0,1,0,0,1,0,1,1,-77,0,0,-77,0,1,-77,0,-77,-77,-77,0,0,-77,0,-77,-77,1,-77,-77,-77,0,1,-77,0,-77,-77,-77,-77,-77,-77,1,-77,-77,0,-77,-77,-77,-77,-77,5,1,3.5,.71428573,1,55,1,150,60,1,110,8181.818181818182,70
0,0,1,1,1,0,0,0,0,0,0,0,-77,-77,-77,0,0,0,1,0,0,0,-77,-77,-77,0,0,1,-77,1,0,1,-77,-77,-77,0,1,-77,-77,-77,1,-77,-77,-77,-77,0,-77,-77,-77,-77,3,1,2.5,.80000001,1,36,1,85,40,0,140,9800,60
1,0,1,1,1,0,0,0,1,1,-77,1,-77,-77,-77,0,1,0,-77,-77,-77,-77,-77,-77,-77,1,-77,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,1,-77,-77,2,1,3,.66666669,1,57,1,127,66,0,155,9800,60
0,1,1,0,0,0,0,0,1,0,0,-77,-77,1,1,0,0,0,-77,0,0,-77,-77,-77,-77,0,0,0,-77,0,0,-77,-77,-77,-77,0,0,0,-77,0,0,-77,-77,-77,-77,0,0,0,-77,0,8,1,2,1,1,53,0,85,40,0,110,8181.818181818182,35
0,0,0,1,0,0,0,0,1,0,0,0,0,-77,1,0,0,0,-77,0,0,0,0,-77,-77,0,0,0,-77,0,0,0,0,-77,-77,0,0,0,-77,0,0,1,0,-77,-77,0,0,0,-77,1,2,1,2.7,.74074072,1,50,1,200,35,0,200,8500,70
0,1,0,0,0,0,0,0,0,0,0,-77,0,0,1,0,0,0,0,0,0,-77,0,0,-77,0,0,1,0,0,0,-77,0,1,-77,0,0,-77,1,0,0,-77,1,-77,-77,1,0,-77,-77,1,9,1,3,1,1,55,1,100,30,0,70,9428.571428571429,60
0,0,0,0,1,0,0,0,0,0,0,1,1,1,-77,0,0,0,0,0,0,-77,-77,-77,-77,0,1,0,1,1,1,-77,-77,-77,-77,0,-77,0,-77,-77,-77,-77,-77,-77,-77,0,-77,0,-77,-77,2,1,5,.2,1,34,1,300,30,0,255,9000,85
0,0,1,0,1,0,0,0,0,0,0,0,-77,0,-77,0,1,0,0,0,0,0,-77,0,-77,0,-77,0,0,0,1,0,-77,0,-77,0,-77,0,0,0,-77,1,-77,0,-77,0,-77,0,0,0,5,1,3,1,1,53,1,290,33,0,150,9900,50
0,0,1,0,0,0,0,0,1,1,0,0,-77,0,0,0,0,0,-77,-77,0,0,-77,0,0,0,0,0,-77,-77,0,0,-77,0,0,0,0,0,-77,-77,0,1,-77,1,1,0,1,1,-77,-77,8,1,2,1,1,38,1,56,45,0,86,9000,70
0,0,0,1,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,1,0,0,0,0,-77,0,0,0,0,-77,1,0,1,0,-77,0,0,0,0,-77,-77,0,-77,0,-77,1,0,0,0,-77,-77,8,1,2,1,1,28,1,95,30,0,80,8500,60
1,0,0,0,0,0,0,0,0,0,-77,0,0,1,1,0,0,1,1,0,-77,0,0,-77,-77,0,0,-77,-77,0,-77,1,0,-77,-77,0,0,-77,-77,0,-77,-77,0,-77,-77,0,0,-77,-77,1,2,1,1.4,1,1,62,1,125,50,0,75,7200,45
0,0,1,0,0,1,0,0,1,1,0,0,-77,0,1,-77,1,0,-77,-77,0,1,-77,1,-77,-77,-77,0,-77,-77,1,-77,-77,-77,-77,-77,-77,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,0,-77,-77,0,1,55,0,1,30,1,1980,45,0,750,,60
0,0,1,1,0,0,0,0,0,0,0,0,-77,-77,1,0,0,0,0,0,0,0,-77,-77,-77,0,0,0,0,0,0,1,-77,-77,-77,1,0,0,1,1,1,-77,-77,-77,-77,-77,1,0,-77,-77,8,1,2,.75,1,51,1,53,55,0,95,7578.947368421053,50
1,1,1,1,0,0,1,1,1,1,-77,-77,-77,-77,1,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,8,1,2,1,1,38,1,65,40,1,45,,15
0,1,0,1,1,0,0,0,1,1,0,-77,0,-77,-77,0,0,0,-77,-77,0,-77,0,-77,-77,0,1,0,-77,-77,0,-77,0,-77,-77,0,-77,0,-77,-77,0,-77,0,-77,-77,0,-77,0,-77,-77,4,1,2,1,1,42,1,70,70,0,150,9000,65
1,1,1,1,1,0,1,1,1,1,-77,-77,-77,-77,-77,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,0,-77,-77,-77,-77,9,1,2.2,1,1,33,1,100,20,0,35,9000,50
0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,-77,-77,-77,0,0,0,0,-77,0,0,-77,-77,-77,0,0,0,0,-77,0,1,-77,-77,-77,1,0,1,1,-77,0,-77,-77,-77,-77,8,1,2,1,1,56,1,50,40,0,35,8000,40
0,1,0,0,1,0,0,0,1,1,0,-77,0,0,-77,0,0,0,-77,-77,0,-77,1,0,-77,0,0,0,-77,-77,1,-77,-77,1,-77,0,1,0,-77,-77,-77,-77,-77,-77,-77,0,-77,1,-77,-77,7,1,3.5,.85714287,1,61,1,120,30,0,70,9000,20
0,0,0,1,0,0,0,0,0,0,0,0,1,-77,1,0,0,0,0,0,0,0,-77,-77,-77,0,0,0,0,0,0,1,-77,-77,-77,0,0,0,1,0,0,-77,-77,-77,-77,0,1,0,-77,1,8,1,2.8,.85714287,1,30,1,69,100,0,130,9600,63
0,0,1,1,0,0,0,0,1,0,0,0,-77,-77,0,0,0,0,-77,0,0,0,-77,-77,1,0,0,1,-77,0,0,0,-77,-77,-77,0,0,-77,-77,0,1,0,-77,-77,-77,1,1,-77,-77,0,7,1,1.4,1,1,51,1,72,30,0,67,,80
1,0,1,1,0,1,1,0,1,1,-77,0,-77,-77,1,-77,-77,0,-77,-77,-77,0,-77,-77,-77,-77,-77,0,-77,-77,-77,0,-77,-77,-77,-77,-77,1,-77,-77,-77,0,-77,-77,-77,-77,-77,-77,-77,-77,5,1,2,1,1,32,1,75,100,0,75,8000,50
1,0,0,0,0,0,0,1,1,1,-77,1,1,1,1,0,1,-77,-77,-77,-77,-77,-77,-77,-77,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,0,-77,-77,-77,-77,2,1,1.5,1,1,47,0,60,75,0,50,8000,25
1,1,1,1,0,0,0,0,1,1,-77,-77,-77,-77,1,0,1,0,-77,-77,-77,-77,-77,-77,-77,0,-77,0,-77,-77,-77,-77,-77,-77,-77,1,-77,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,0,-77,-77,8,1,4,1,1,28,1,75,20,0,85,8823.529411764706,40
0,0,1,0,0,0,0,0,1,1,0,1,-77,0,1,0,0,0,-77,-77,0,-77,-77,0,-77,0,0,1,-77,-77,1,-77,-77,0,-77,0,0,-77,-77,-77,-77,-77,-77,0,-77,0,1,-77,-77,-77,7,1,1.5,1,1,36,1,62,50,0,60,8500,60
0,0,1,1,0,0,0,1,1,1,0,0,-77,-77,1,0,0,-77,-77,-77,1,0,-77,-77,-77,0,0,-77,-77,-77,-77,1,-77,-77,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,0,1,-77,-77,-77,4,1,2,1,1,59,1,65,15,0,47,9100,30
0,0,1,1,0,0,0,0,0,0,0,0,-77,-77,1,0,0,0,0,0,0,1,-77,-77,-77,0,0,0,0,0,1,-77,-77,-77,-77,0,0,0,1,1,-77,-77,-77,-77,-77,0,0,1,-77,-77,8,1,2.5,1,1,36,1,72,55,0,100,8300,60
1,1,1,0,0,0,0,0,0,0,-77,-77,-77,1,1,0,1,0,1,1,-77,-77,-77,-77,-77,0,-77,0,-77,-77,-77,-77,-77,-77,-77,0,-77,0,-77,-77,-77,-77,-77,-77,-77,0,-77,0,-77,-77,2,1,4.5,.44444445,1,36,1,190,45,0,180,9500,45
0,0,1,1,0,0,0,0,1,1,0,0,-77,-77,1,0,0,0,-77,-77,0,0,-77,-77,-77,0,0,0,-77,-77,0,0,-77,-77,-77,0,0,0,-77,-77,0,1,-77,-77,-77,0,1,1,-77,-77,3,1,2.5,1,1,56,1,160,50,0,100,10000,80
0,0,0,1,0,0,1,0,1,1,0,0,1,-77,1,0,-77,0,-77,-77,0,0,-77,-77,-77,0,-77,1,-77,-77,0,1,-77,-77,-77,0,-77,-77,-77,-77,0,-77,-77,-77,-77,1,-77,-77,-77,-77,9,1,1.5,1,1,46,1,70,17,0,65,7500,60
0,0,1,1,0,0,0,0,1,0,0,0,-77,-77,1,0,0,0,-77,1,0,0,-77,-77,-77,0,0,0,-77,-77,0,0,-77,-77,-77,0,0,0,-77,-77,0,0,-77,-77,-77,0,0,0,-77,-77,2,1,9,.33333334,1,46,1,260,45,0,510,10000,65
1,1,0,0,0,0,0,0,1,0,-77,-77,0,0,1,0,1,0,-77,0,-77,-77,0,0,-77,0,-77,0,-77,1,-77,-77,0,1,-77,0,-77,0,-77,-77,-77,-77,1,-77,-77,0,-77,0,-77,-77,9,1,2.5,.60000002,1,38,0,110,28,0,110,8400,83
0,0,1,1,0,0,0,0,1,0,0,0,-77,-77,1,0,0,0,-77,1,0,0,-77,-77,-77,0,0,0,-77,-77,0,0,-77,-77,-77,0,0,0,-77,-77,1,0,-77,-77,-77,0,0,0,-77,-77,4,1,2.5,.80000001,1,37,1,80,30,0,140,10000,60
0,1,1,1,0,0,0,0,1,1,0,-77,-77,-77,1,0,1,1,-77,-77,0,-77,-77,-77,-77,0,-77,-77,-77,-77,0,-77,-77,-77,-77,0,-77,-77,-77,-77,1,-77,-77,-77,-77,1,-77,-77,-77,-77,3,0,2.5,1,1,59,1,110,70,0,90,9600,75
1,0,1,1,0,0,0,0,1,1,-77,1,-77,-77,1,0,0,0,-77,-77,-77,-77,-77,-77,-77,0,0,0,-77,-77,-77,-77,-77,-77,-77,0,0,0,-77,-77,-77,-77,-77,-77,-77,0,1,0,-77,-77,5,1,4,.625,1,30,1,88,100,0,170,9100,60
1,0,1,0,1,0,0,0,1,1,-77,0,-77,0,-77,0,0,0,-77,-77,-77,0,-77,0,-77,0,0,0,-77,-77,-77,0,-77,0,-77,1,0,1,-77,-77,-77,1,-77,1,-77,-77,1,-77,-77,-77,9,1,3,.66666669,1,40,1,80,40,1,65,7000,55
0,0,1,1,1,0,0,0,1,0,0,0,-77,-77,-77,0,0,0,-77,0,0,1,-77,-77,-77,0,0,0,-77,1,0,-77,-77,-77,-77,0,1,0,-77,-77,1,-77,-77,-77,-77,0,-77,0,-77,-77,2,1,5,.30000001,1,36,1,210,66,0,330,9090.90909090909,60
0,0,1,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,2,1,3,.66666669,1,50,1,210,40,0,200,9000,55
1,0,1,1,0,1,0,0,1,1,-77,0,-77,-77,1,-77,1,0,-77,-77,-77,0,-77,-77,-77,-77,-77,0,-77,-77,-77,0,-77,-77,-77,-77,-77,0,-77,-77,-77,1,-77,-77,-77,-77,-77,1,-77,-77,2,0,2.5,.60000002,1,54,1,88,60,0,80,7300,50
1,0,1,0,0,0,0,0,0,0,-77,1,-77,0,1,0,0,0,1,0,-77,-77,-77,0,-77,0,1,0,-77,0,-77,-77,-77,1,-77,0,-77,0,-77,1,-77,-77,-77,-77,-77,1,-77,0,-77,-77,2,1,3,.66666669,1,35,1,150,55,0,100,10000,35
0,1,0,1,0,0,0,0,0,0,0,-77,0,-77,1,0,0,0,0,0,0,-77,0,-77,-77,0,0,0,0,0,0,-77,0,-77,-77,0,0,0,1,0,0,-77,0,-77,-77,0,0,0,-77,0,9,1,2.5,1,1,42.5,1,100,40,0,100,9000,70
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,-77,0,0,0,0,0,0,-77,-77,0,-77,0,0,0,0,0,0,-77,-77,0,-77,0,0,0,0,0,0,-77,-77,0,-77,0,0,7,1,1.7,1,1,58,1,60,50,0,50,7800,70
1,0,1,0,0,0,0,0,1,0,-77,0,-77,0,0,0,0,0,-77,1,-77,0,-77,0,1,0,0,0,-77,-77,-77,1,-77,1,-77,0,0,0,-77,-77,-77,-77,-77,-77,-77,1,1,0,-77,-77,5,1,2.5,1,1,55,1,85,100,0,120,9166.666666666666,30
1,0,0,0,0,0,0,0,1,1,-77,0,0,0,0,1,0,0,-77,-77,-77,0,1,0,0,-77,0,0,-77,-77,-77,0,-77,0,1,-77,0,0,-77,-77,-77,0,-77,0,-77,-77,0,1,-77,-77,3,1,11,.36363637,1,52,1,300,80,0,400,12000,100
1,0,1,1,0,0,0,0,1,1,-77,0,-77,-77,1,0,0,0,-77,-77,-77,0,-77,-77,-77,0,0,0,-77,-77,-77,0,-77,-77,-77,0,1,1,-77,-77,-77,1,-77,-77,-77,0,-77,-77,-77,-77,2,1,1.2,.16666667,1,49,1,61,80,0,60,8500,50
1,0,1,0,0,0,0,0,1,0,-77,0,-77,1,1,0,0,0,-77,0,-77,0,-77,-77,-77,0,0,0,-77,1,-77,1,-77,-77,-77,0,0,0,-77,-77,-77,-77,-77,-77,-77,0,0,0,-77,-77,1,1,65,0,1,58,1,3850,23,0,1290,9600,76
0,0,1,0,0,0,0,0,1,1,1,1,-77,1,1,0,1,1,-77,-77,-77,-77,-77,-77,-77,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,1,-77,-77,-77,-77,3,1,2,1,1,38,1,115,45,0,60,10500,25
0,0,0,1,0,0,0,0,1,0,0,0,0,-77,1,0,0,0,-77,1,0,1,0,-77,-77,0,0,0,-77,-77,0,-77,0,-77,-77,0,0,0,-77,-77,1,-77,0,-77,-77,0,0,1,-77,-77,7,1,2,1,1,42,1,110,30,0,70,7500,50
1,0,0,0,0,0,1,1,0,0,-77,0,0,0,1,0,-77,-77,0,0,-77,0,0,0,-77,0,-77,-77,0,0,-77,0,0,0,-77,0,-77,-77,0,0,-77,1,1,1,-77,1,-77,-77,1,1,2,1,2,1,1,38,1,55,20,0,60,8333.333333333334,15
0,0,1,0,0,0,0,0,0,0,0,0,-77,1,1,0,0,0,0,0,0,0,-77,-77,-77,0,0,0,1,0,0,1,-77,-77,-77,0,1,0,-77,1,1,-77,-77,-77,-77,0,-77,0,-77,-77,9,1,3,.83333331,1,43,1,130,50,0,170,8000,70
1,0,1,1,0,1,1,1,0,0,-77,0,-77,-77,0,-77,-77,-77,0,0,-77,0,-77,-77,0,-77,-77,-77,0,0,-77,0,-77,-77,0,-77,-77,-77,0,0,-77,0,-77,-77,0,-77,-77,-77,1,1,9,1,1.3,1,1,52,0,52,10,0,50,7000,40
1,0,0,1,0,0,0,0,1,1,-77,0,0,-77,1,0,0,0,-77,-77,-77,0,0,-77,-77,0,0,0,-77,-77,-77,0,0,-77,-77,0,0,0,-77,-77,-77,0,0,-77,-77,0,1,0,-77,-77,3,1,20,0,1,49,1,1600,30,0,270,7777.777777777777,88
1,1,0,1,1,0,0,0,1,0,-77,-77,0,-77,-77,0,0,0,-77,1,-77,-77,1,-77,-77,0,0,0,-77,-77,-77,-77,-77,-77,-77,0,1,0,-77,-77,-77,-77,-77,-77,-77,0,-77,0,-77,-77,2,1,3.5,.80000001,1,33,1,176,73,0,220,9700,100
0,0,1,1,0,0,0,0,1,1,0,0,-77,-77,0,0,0,0,-77,-77,0,0,-77,-77,0,0,0,0,-77,-77,0,0,-77,-77,0,0,0,0,-77,-77,1,0,-77,-77,0,0,0,0,-77,-77,7,1,4,.5,1,61,1,150,40,0,230,9000,50
1,0,0,0,0,0,0,1,0,0,-77,0,1,0,1,0,0,-77,0,0,-77,0,-77,0,-77,0,0,-77,1,1,-77,1,-77,1,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,1,1,-77,-77,-77,2,1,1,1,1,69,1,55,75,0,65,9230.769230769231,20
1,0,1,0,0,0,0,0,0,0,-77,0,-77,0,1,0,0,0,1,0,-77,1,-77,0,-77,0,0,0,-77,0,-77,-77,-77,0,-77,0,1,0,-77,1,-77,-77,-77,1,-77,0,-77,0,-77,-77,2,1,4,.75,1,36,1,220,50,0,140,8571.428571428571,70
1,0,1,1,0,0,0,0,0,1,-77,0,-77,-77,1,0,0,0,0,-77,-77,1,-77,-77,-77,0,0,0,0,-77,-77,-77,-77,-77,-77,0,1,0,0,-77,-77,-77,-77,-77,-77,0,-77,0,1,-77,2,1,1.5,1,1,36,0,106,60,0,130,8500,40
