v_63,v_64,v_65,v_66,v_67,v_68,v_69,v_70,v_178,v_179,v_92,v_93,v_94,v_95,v_96,v_97,v_98,v_99,v_180,v_181,v_100,v_101,v_102,v_103,v_104,v_105,v_106,v_107,v_182,v_183,v_116,v_117,v_118,v_119,v_120,v_121,v_122,v_123,v_184,v_185,v_124,v_125,v_126,v_127,v_128,v_129,v_130,v_131,v_186,v_187,plz1,succ,labour,sh_famlab,fulltime,age,master,uaa,sh_grassland,organic,cows,milkyield,sh_rent
1,0,0,0,0,0,0,1,0,0,-77,1,1,0,0,0,0,-77,0,0,-77,-77,-77,1,0,0,0,-77,0,0,-77,-77,-77,-77,0,0,0,-77,1,1,-77,-77,-77,-77,0,0,0,-77,-77,-77,8,1,2,1,1,22,1,19.5,100,0,19,6800,40
1,0,1,0,0,0,0,1,0,1,-77,0,-77,0,0,0,0,-77,0,-77,-77,0,-77,0,0,0,0,-77,0,-77,-77,1,-77,0,1,0,0,-77,0,-77,-77,-77,-77,1,-77,0,0,-77,0,-77,8,1,1.6,1,1,39,1,25,100,0,25,8500,60
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,-77,0,0,0,1,1,1,1,0,0,-77,1,1,1,-77,-77,-77,-77,0,1,-77,-77,-77,8,1,1,.40000001,1,25,0,50,50,0,24,8500,50
0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,-77,-77,-77,0,0,1,1,-77,0,0,-77,-77,-77,0,1,-77,-77,-77,0,0,-77,-77,-77,0,-77,-77,-77,-77,0,0,-77,-77,-77,8,1,1,1,0,59,0,20,4,0,22,8000,20
0,0,1,1,0,0,0,1,1,1,0,0,-77,-77,1,0,0,-77,-77,-77,0,0,-77,-77,-77,0,0,-77,-77,-77,0,0,-77,-77,-77,0,0,-77,-77,-77,0,1,-77,-77,-77,0,0,-77,-77,-77,8,1,2.25,1,1,40,0,50,20,0,42,9523.809523809523,35
1,1,1,1,0,0,1,1,1,1,-77,-77,-77,-77,1,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,8,1,2.5,.80000001,1,43,1,60,75,1,44,5600,50
0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,-77,-77,-77,0,-77,0,0,-77,0,0,-77,-77,-77,0,-77,0,1,-77,0,0,-77,-77,-77,0,-77,0,-77,-77,0,0,-77,-77,-77,8,1,3,1,1,36,0,17.56,70,0,24,5000,40
0,1,0,1,0,0,0,0,1,0,0,-77,1,-77,1,0,1,0,-77,1,0,-77,-77,-77,-77,0,-77,0,-77,-77,0,-77,-77,-77,-77,1,-77,0,-77,-77,1,-77,-77,-77,-77,-77,-77,0,-77,-77,9,1,2,1,1,30,1,100,30,0,100,8000,60
0,0,0,1,0,0,0,0,1,1,0,0,0,-77,0,0,0,0,-77,-77,1,0,0,-77,0,0,0,1,-77,-77,-77,1,0,-77,0,0,0,-77,-77,-77,-77,-77,0,-77,1,0,0,-77,-77,-77,8,1,3,1,1,29,1,20,8,0,60,9000,0
1,0,0,1,0,0,0,1,0,1,-77,0,0,-77,1,0,0,-77,0,-77,-77,1,0,-77,-77,0,0,-77,0,-77,-77,-77,0,-77,-77,0,0,-77,1,-77,-77,-77,1,-77,-77,0,0,-77,-77,-77,8,1,3,1,0,60,0,25,100,0,35,8800,33
